ticker,entry_date,exit_date,shares,entry_px,exit_px,gain_eur,fee_eur,tax_eur,days_held,exit_reason,ret_net
MRNA,2024-06-10,2024-06-20,11.0,148.58999633789062,132.5399932861328,-201.35003356933612,12.4,0.0,7,stop,-0.12226076938617121
TDG,2024-04-16,2024-06-28,2.0,1083.9705810546875,1146.8295326667758,99.76790322417628,13.13,0.0,51,sma,0.04574911959990805
TLN,2024-06-05,2024-06-28,19.0,112.91000366210938,109.5,-90.15006958007825,12.6,0.0,16,egg,-0.041773854485971214
CEG,2024-06-11,2024-07-01,10.0,215.3949432373047,205.41005234496942,-125.16890892335277,12.54,0.0,13,stop,-0.0577685921708578
THC,2024-06-10,2024-07-03,16.0,137.75999450683594,134.2899932861328,-81.20001953124984,12.77,0.0,16,egg,-0.03662492512651265
CAVA,2024-06-28,2024-07-11,23.0,92.75,85.69000244140625,-187.50994384765636,12.4,0.0,8,stop,-0.08737730260657432
ANF,2024-06-20,2024-07-15,8.0,175.55999755859375,172.1300048828125,-52.23994140625018,12.4,0.0,16,egg,-0.03686970112243911
UCTT,2024-06-07,2024-07-17,24.0,46.119998931884766,54.400001525878906,179.85506225585937,12.4,0.0,26,strength,0.1615447739892143
NVDA,2024-07-03,2024-07-18,17.0,128.06893920898438,121.64948329559192,-134.54075052767212,12.57,0.0,10,stop,-0.061433796975753845
AMAT,2024-07-11,2024-07-18,8.0,237.0079345703125,218.2347624406191,-174.98537703754732,12.4,0.0,5,stop,-0.09168914112662441
P,2024-07-01,2024-07-19,33.0,65.51000213623047,59.630001068115234,-219.240035247803,12.4,0.0,13,stop,-0.10081716344418867
UCTT,2024-06-07,2024-07-22,24.0,46.119998931884766,48.150001525878906,29.855062255859366,12.4,0.0,29,sma,0.02681564379709085
BOOT,2024-06-28,2024-07-23,16.0,128.92999267578125,123.70999908447266,-108.47989746093754,12.4,0.0,16,egg,-0.05226838819052311
RSI,2024-06-03,2024-07-24,132.0,8.720000267028809,10.359999656677246,197.51478735812202,12.4,0.0,35,strength,0.17062362274594423
FUN,2024-07-15,2024-07-25,28.0,52.68000030517578,47.43000030517578,-171.80000000000018,12.4,0.0,8,stop,-0.11550045649777994
PTGX,2024-06-18,2024-07-25,34.0,32.59000015258789,41.619998931884766,288.14995849609363,12.4,0.0,25,strength,0.2585394355959858
COHR,2024-07-18,2024-07-26,29.0,74.52999877929688,69.30999755859375,-176.60003540039088,12.42,0.0,6,stop,-0.08122641664443798
TLN,2024-07-19,2024-07-26,17.0,123.8499984741211,109.63999938964844,-266.6299844360351,12.4,0.0,5,stop,-0.12588108629928715
TMDX,2024-05-30,2024-07-29,17.0,136.4199981689453,142.22000122070312,71.96005187988294,13.44,0.0,40,sma,0.030853157275645
SFM,2024-06-05,2024-07-31,14.0,78.73999786376953,96.77999877929688,233.7050128173828,12.4,0.0,38,strength,0.2107700735658619
AGX,2024-07-18,2024-08-05,28.0,74.87189483642578,64.71365138778631,-309.47081656190494,12.4,0.0,12,stop,-0.1467344862504125
NSSC,2024-07-22,2024-08-06,33.0,53.844085693359375,49.63585055149194,-163.67175968162542,12.4,0.0,11,stop,-0.09147481796959767
JPM,2024-07-26,2024-08-06,10.0,203.6820831298828,187.5211047088707,-186.4997842101211,12.4,0.0,7,stop,-0.09100609890980757
RSI,2024-06-03,2024-08-09,133.0,8.720000267028809,9.460000038146973,79.40510163418753,12.4,0.0,47,sma,0.06807854095629196
CASY,2024-07-23,2024-08-14,5.0,373.1658020019531,365.16661577448815,-64.79593113732517,12.4,0.0,16,egg,-0.03449841887863731
KBR,2024-07-26,2024-08-19,33.0,63.978759765625,63.755027947249914,-32.72315000637764,12.66,0.0,16,egg,-0.015406531275975435
GE,2024-07-25,2024-09-04,13.0,162.78851318359375,161.6319052876437,-40.37590264735081,12.65,0.0,28,sma,-0.018965254969294815
TPL,2024-08-09,2024-09-06,7.0,271.15045166015625,264.09575515521175,-74.18287553461164,12.4,0.0,19,sma,-0.03882998914857697
ATI,2024-08-14,2024-09-06,32.0,63.459999084472656,59.79999923706055,-141.9999951171876,12.4,0.0,16,egg,-0.069498823978703
PPC,2024-08-19,2024-09-11,56.0,37.053897857666016,36.56255671867248,-52.625103783638,12.52,0.0,16,egg,-0.025208322982365
CNX,2024-07-29,2024-09-23,41.0,25.770000457763672,31.8799991607666,231.81175405203567,12.4,0.0,39,strength,0.2181001854560062
