date,AllPass (v5r),Rocket k=0.50
2009-04-23,90020.55825462613,90020.55825462613
2009-04-24,90020.55825462613,90020.55825462613
2009-04-27,90020.55825462613,90020.55825462613
2009-04-28,90020.55825462613,90020.55825462613
2009-04-29,90020.55825462613,90020.55825462613
2009-04-30,90020.55825462613,90020.55825462613
2009-05-01,90020.55825462613,90020.55825462613
2009-05-04,90020.55825462613,90020.55825462613
2009-05-05,90020.55825462613,90020.55825462613
2009-05-06,90020.55825462613,90020.55825462613
2009-05-07,90020.55825462613,90020.55825462613
2009-05-08,90020.55825462613,90020.55825462613
2009-05-11,90020.55825462613,90020.55825462613
2009-05-12,90020.55825462613,90020.55825462613
2009-05-13,90020.55825462613,90020.55825462613
2009-05-14,90020.55825462613,90020.55825462613
2009-05-15,90020.55825462613,90020.55825462613
2009-05-18,90020.55825462613,90020.55825462613
2009-05-19,90020.55825462613,90020.55825462613
2009-05-20,90020.55825462613,90020.55825462613
2009-05-21,90020.55825462613,90020.55825462613
2009-05-22,90020.55825462613,90020.55825462613
2009-05-26,90020.55825462613,90020.55825462613
2009-05-27,90020.55825462613,90020.55825462613
2009-05-28,90020.55825462613,90020.55825462613
2009-05-29,90020.55825462613,90020.55825462613
2009-06-01,90020.55825462613,90020.55825462613
2009-06-02,90020.55825462613,90020.55825462613
2009-06-03,90020.55825462613,90020.55825462613
2009-06-04,90020.55825462613,90020.55825462613
2009-06-05,90020.55825462613,90020.55825462613
2009-06-08,90002.55590514836,90020.55825462613
2009-06-09,90091.54098348317,90020.55825462613
2009-06-10,89936.63211404117,90020.55825462613
2009-06-11,89635.4227456692,90020.55825462613
2009-06-12,89679.7736558369,90020.55825462613
2009-06-15,88979.53865474972,90020.55825462613
2009-06-16,88233.6322544125,90020.55825462613
2009-06-17,89097.93838577541,90020.55825462613
2009-06-18,89183.58819799694,90020.55825462613
2009-06-19,89515.40792106518,90020.55825462613
2009-06-22,88057.5925800694,90020.55825462613
2009-06-23,87317.74311114964,90020.55825462613
2009-06-24,87370.46876901326,90020.55825462613
2009-06-25,88371.45812485204,90020.55825462613
2009-06-26,88659.81610367284,90020.55825462613
2009-06-29,89473.2427623795,90020.55825462613
2009-06-30,89392.72660902486,90020.55825462613
2009-07-01,90162.54066386494,90020.55825462613
2009-07-02,88584.5401849793,90020.55825462613
2009-07-06,87842.84800845418,90020.55825462613
2009-07-07,86223.7360184792,90020.55825462613
2009-07-08,85306.7556074265,90020.55825462613
2009-07-09,86204.44499184976,90020.55825462613
2009-07-10,86224.75071027169,90020.55825462613
2009-07-13,87477.61878945718,90020.55825462613
2009-07-14,88061.78046014199,90020.55825462613
2009-07-15,89389.73633014092,90020.55825462613
2009-07-16,89807.42992125878,90020.55825462613
2009-07-17,90434.85918246636,90020.55825462613
2009-07-20,91186.17415915856,90020.55825462613
2009-07-21,89966.54971896538,90020.55825462613
2009-07-22,89658.79360905633,90020.55825462613
2009-07-23,91104.6439773806,90020.55825462613
2009-07-24,91335.53006193718,90020.55825462613
2009-07-27,90741.44454023919,90020.55825462613
2009-07-28,90530.56038910088,90020.55825462613
